Chromosome Region	Start	End	loss
chr1	0	709822	0
chr1	709822	811403	0
chr1	811403	7656581	0
chr1	7656581	8060881	0
chr1	8060881	16770597	0
chr1	16770597	16772920	0
chr1	16772920	17088320	0
chr1	17088320	19646378	0
chr1	19646378	20672828	0
chr1	20672828	21534624	0
chr1	21534624	22707072	0
chr1	22707072	23386862	0
chr1	23386862	24667178	0
chr1	24667178	24755956	0
chr1	24755956	28453334	0
chr1	28453334	35097164	0
chr1	35097164	35102662	0
chr1	35102662	35109386	0
chr1	35109386	35690830	0
chr1	35690830	35900283	0
chr1	35900283	38286796	0
chr1	38286796	38525377	0
chr1	38525377	40558652	0
chr1	40558652	41200272	0
chr1	41200272	41495608	0
chr1	41495608	41506362	0
chr1	41506362	42001372	0
chr1	42001372	42563757	0
chr1	42563757	43876822	0
chr1	43876822	44424216	0
chr1	44424216	44984657	0
chr1	44984657	49086652	0
chr1	49086652	49135948	0
chr1	49135948	51418694	0
chr1	51418694	51750966	0
chr1	51750966	55115309	0
chr1	55115309	56702776	0
chr1	56702776	58484370	0
chr1	58484370	60269846	0
chr1	60269846	60439855	0
chr1	60439855	60535396	0
chr1	60535396	61117521	0
chr1	61117521	61409376	0
chr1	61409376	61949249	0
chr1	61949249	62253328	0
chr1	62253328	62666111	0
chr1	62666111	62907302	0
chr1	62907302	62944861	0
chr1	62944861	62983254	0
chr1	62983254	63552801	0
chr1	63552801	63743427	0
chr1	63743427	63858911	0
chr1	63858911	64654624	0
chr1	64654624	64813004	0
chr1	64813004	65215360	0
chr1	65215360	65340900	0
chr1	65340900	65659212	0
chr1	65659212	66239776	0
chr1	66239776	66272729	0
chr1	66272729	66281108	0
chr1	66281108	66586994	0
chr1	66586994	66731534	0
chr1	66731534	66775665	0
chr1	66775665	67003335	0
chr1	67003335	67047906	0
chr1	67047906	67926509	0
chr1	67926509	68085652	0
chr1	68085652	68644748	0
chr1	68644748	69307931	0
chr1	69307931	69744419	0
chr1	69744419	70000332	0
chr1	70000332	70106485	0
chr1	70106485	70131700	0
chr1	70131700	72447481	0
chr1	72447481	72756128	0
chr1	72756128	72811532	0
chr1	72811532	72812172	0
chr1	72812172	80501758	0
chr1	80501758	86636982	0
chr1	86636982	89232159	0
chr1	89232159	89383778	0
chr1	89383778	96516714	0
chr1	96516714	97123244	0
chr1	97123244	97277836	0
chr1	97277836	99445439	0
chr1	99445439	99548939	0
chr1	99548939	100327536	0
chr1	100327536	100519297	0
chr1	100519297	104144001	0
chr1	104144001	104157327	0
chr1	104157327	104288851	0
chr1	104288851	105144284	0
chr1	105144284	105423457	0
chr1	105423457	105547774	0
chr1	105547774	105606107	0
chr1	105606107	105998605	0
chr1	105998605	106058454	0
chr1	106058454	108879120	0
chr1	108879120	111025557	0
chr1	111025557	111031650	0
chr1	111031650	111176126	0
chr1	111176126	111620285	0
chr1	111620285	112246931	0
chr1	112246931	112259718	0
chr1	112259718	112289343	0
chr1	112289343	112506185	0
chr1	112506185	112634918	0
chr1	112634918	113094656	0
chr1	113094656	113810313	0
chr1	113810313	114374012	0
chr1	114374012	117914536	0
chr1	117914536	118056497	0
chr1	118056497	119652879	0
chr1	119652879	120476169	0
chr1	120476169	120685338	0
chr1	120685338	120741258	0
chr1	120741258	121185034	0
chr1	121185034	121230790	0
chr1	121230790	121291080	0
chr1	121291080	125000000	0
chr1	125000000	143458436	0
chr1	143458436	145116735	0
chr1	145116735	145181807	0
chr1	145181807	149251888	0
chr1	149251888	149820496	0
chr1	149820496	152767560	0
chr1	152767560	152825796	0
chr1	152825796	152944546	0
chr1	152944546	153132934	0
chr1	153132934	153602557	0
chr1	153602557	157260320	0
chr1	157260320	157453823	0
