Chromosome Region	Start	End	loss
chr1	0	767025	66
chr1	767025	787687	25
chr1	787687	15199874	8
chr1	15199874	16920989	19
chr1	16920989	21966738	25
chr1	21966738	27535130	63
chr1	27535130	30309810	15
chr1	30309810	32009897	4
chr1	32009897	35109386	0
chr1	35109386	39142813	0
chr1	39142813	39454983	0
chr1	39454983	40948588	0
chr1	40948588	47223002	0
chr1	47223002	47323154	0
chr1	47323154	50453104	0
chr1	50453104	51751304	0
chr1	51751304	65369223	5
chr1	65369223	71786677	8
chr1	71786677	76979823	6
chr1	76979823	81365405	5
chr1	81365405	110251819	13
chr1	110251819	121291080	0
chr1	121291080	125000000	5
chr1	125000000	149764006	0
chr1	149764006	169585047	0
chr1	169585047	174152498	0
chr1	174152498	176761738	0
chr1	176761738	182935212	0
chr1	182935212	183102043	0
chr1	183102043	183303180	0
chr1	183303180	192384886	0
chr1	192384886	207327196	0
chr1	207327196	208446313	0
chr1	208446313	222145870	0
chr1	222145870	224411289	0
chr1	224411289	235453085	0
chr1	235453085	243993084	0
chr1	243993084	247292531	0
chr1	247292531	249250621	0
chr2	0	10955619	9
chr2	10955619	11228307	10
chr2	11228307	19997951	4
chr2	19997951	26060892	0
chr2	26060892	50626114	0
chr2	50626114	65482290	0
chr2	65482290	67851794	0
chr2	67851794	70055106	0
chr2	70055106	75885669	0
chr2	75885669	85555398	0
chr2	85555398	85933751	0
chr2	85933751	91627978	0
chr2	91627978	92285930	9
chr2	92285930	93300000	0
chr2	93300000	97082510	0
chr2	97082510	99201244	0
chr2	99201244	100293467	0
chr2	100293467	110821422	0
chr2	110821422	118963129	0
chr2	118963129	128960405	0
chr2	128960405	134064544	48
chr2	134064544	135972182	42
chr2	135972182	136653498	0
chr2	136653498	138795906	0
chr2	138795906	140884228	0
chr2	140884228	142094872	37
chr2	142094872	142867058	0
chr2	142867058	146866854	0
chr2	146866854	149925820	0
chr2	149925820	153532457	0
chr2	153532457	161340674	0
chr2	161340674	172518880	0
chr2	172518880	174840448	0
chr2	174840448	184673379	33
chr2	184673379	186217716	34
chr2	186217716	189848630	32
chr2	189848630	196311762	0
chr2	196311762	204004468	0
chr2	204004468	206316007	0
chr2	206316007	206546210	0
chr2	206546210	206871301	0
chr2	206871301	207315164	0
chr2	207315164	208995267	0
chr2	208995267	213054242	0
chr2	213054242	214415693	0
chr2	214415693	219675338	0
chr2	219675338	220693911	0
chr2	220693911	228707323	0
chr2	228707323	233223117	10
chr2	233223117	243199373	5
chr3	0	14706164	13
chr3	14706164	48152949	0
chr3	48152949	50767675	45
chr3	50767675	57333192	37
chr3	57333192	64374302	52
chr3	64374302	65893152	58
chr3	65893152	66933941	49
chr3	66933941	67385899	49
chr3	67385899	72004310	57
chr3	72004310	89047178	7
chr3	89047178	91000000	0
chr3	91000000	93548479	0
chr3	93548479	93720625	0
chr3	93720625	93907544	0
chr3	93907544	111404589	0
chr3	111404589	115572686	0
chr3	115572686	115632509	0
chr3	115632509	116055562	0
chr3	116055562	116120744	0
chr3	116120744	116231271	1
chr3	116231271	116488267	1
chr3	116488267	123618636	1
chr3	123618636	124290949	8
chr3	124290949	131925406	8
chr3	131925406	133007052	0
chr3	133007052	133028893	0
chr3	133028893	157314131	0
chr3	157314131	174428118	0
chr3	174428118	174545553	0
chr3	174545553	174759514	0
chr3	174759514	177369287	0
chr3	177369287	186450652	0
chr3	186450652	188218915	0
chr3	188218915	194182250	0
chr3	194182250	198022430	11
chr4	0	67770	31
chr4	67770	759988	27
chr4	759988	10402732	17
chr4	10402732	21173528	17
chr4	21173528	37078696	21
chr4	37078696	44573233	66
chr4	44573233	50400000	14
chr4	50400000	70606368	4
chr4	70606368	77555749	12
chr4	77555749	77813812	23
chr4	77813812	107068507	25
chr4	107068507	107432736	0
chr4	107432736	107493261	25
chr4	107493261	118129576	9
chr4	118129576	122237622	5
chr4	122237622	130711352	55
chr4	130711352	148305398	61
chr4	148305398	161873926	76
chr4	161873926	191154276	76
chr5	0	30368281	0
chr5	30368281	37707100	0
chr5	37707100	46062051	0
chr5	46062051	46383335	0
chr5	46383335	48400000	0
chr5	48400000	57335951	66
chr5	57335951	61756348	79
chr5	61756348	61846874	86
chr5	61846874	62586633	80
chr5	62586633	65429422	81
chr5	65429422	72724423	83
chr5	72724423	78621682	82
chr5	78621682	85333023	82
chr5	85333023	94776698	83
chr5	94776698	95935364	83
chr5	95935364	96054205	81
chr5	96054205	101262105	83
chr5	101262105	113164660	50
chr5	113164660	114420932	81
chr5	114420932	117220980	29
chr5	117220980	117378990	21
chr5	117378990	118456536	16
chr5	118456536	118594438	21
chr5	118594438	127383109	14
chr5	127383109	145574362	18
chr5	145574362	152043997	17
chr5	152043997	156564182	3
chr5	156564182	166560394	4
chr5	166560394	166667194	0
chr5	166667194	167500321	0
chr5	167500321	168008923	0
chr5	168008923	168130600	0
chr5	168130600	177585404	0
chr5	177585404	178022334	0
chr5	178022334	180374503	0
