Chromosome Region	Start	End	gain
chr1	0	469361	5
chr1	469361	778574	22
chr1	778574	836916	46
chr1	836916	2539595	58
chr1	2539595	7949846	42
chr1	7949846	9118725	34
chr1	9118725	12040015	51
chr1	12040015	26460434	34
chr1	26460434	27644054	33
chr1	27644054	28303790	49
chr1	28303790	28922557	51
chr1	28922557	29495704	92
chr1	29495704	33390994	75
chr1	33390994	33452499	59
chr1	33452499	34931952	75
chr1	34931952	35091097	75
chr1	35091097	38277894	76
chr1	38277894	43788396	76
chr1	43788396	44818082	75
chr1	44818082	45855175	75
chr1	45855175	48501058	92
chr1	48501058	51432963	92
chr1	51432963	51595735	75
chr1	51595735	60078893	92
chr1	60078893	72768926	90
chr1	72768926	73536895	89
chr1	73536895	73784973	89
chr1	73784973	75738650	91
chr1	75738650	75850493	74
chr1	75850493	95388034	91
chr1	95388034	95505579	74
chr1	95505579	109631396	91
chr1	109631396	109927788	92
chr1	109927788	121185034	90
chr1	121185034	121291080	18
chr1	121291080	125000000	1
chr1	125000000	143458436	20
chr1	143458436	149834798	36
chr1	149834798	151993276	96
chr1	151993276	152549861	79
chr1	152549861	152555345	72
chr1	152555345	152590614	72
chr1	152590614	153545516	79
chr1	153545516	155333627	96
chr1	155333627	155585469	96
chr1	155585469	155682741	96
chr1	155682741	155922206	96
chr1	155922206	160914407	96
chr1	160914407	196731848	97
chr1	196731848	227536324	96
chr1	227536324	227850156	96
chr1	227850156	228037701	96
chr1	228037701	228435421	96
chr1	228435421	236440476	96
chr1	236440476	236585194	96
chr1	236585194	237734537	96
chr1	237734537	237820577	96
chr1	237820577	241952051	96
chr1	241952051	242012816	96
chr1	242012816	242837484	96
chr1	242837484	242872260	96
chr1	242872260	243842974	96
chr1	243842974	243963380	96
chr1	243963380	245944223	96
chr1	245944223	245952755	80
chr1	245952755	246779170	96
chr1	246779170	246853177	96
chr1	246853177	248365649	96
chr1	248365649	249250621	96
chr2	0	416444	95
chr2	416444	3044334	78
chr2	3044334	3210894	95
chr2	3210894	4209776	78
chr2	4209776	4223340	95
chr2	4223340	6197671	78
chr2	6197671	14360772	78
chr2	14360772	14500269	77
chr2	14500269	14746620	78
chr2	14746620	15680997	79
chr2	15680997	15732179	96
chr2	15732179	24614583	79
chr2	24614583	28575274	77
chr2	28575274	29037579	94
chr2	29037579	29421526	77
chr2	29421526	29457191	94
chr2	29457191	33099660	77
chr2	33099660	33215549	61
chr2	33215549	34652725	77
chr2	34652725	34656404	70
chr2	34656404	34678487	87
chr2	34678487	34737116	84
chr2	34737116	34737794	70
chr2	34737794	41238339	78
chr2	41238339	41251249	62
chr2	41251249	41257596	95
chr2	41257596	41600920	78
chr2	41600920	58306409	95
chr2	58306409	58392501	78
chr2	58392501	70340248	95
chr2	70340248	76692558	95
chr2	76692558	87850026	93
chr2	87850026	89064749	93
chr2	89064749	90301276	47
chr2	90301276	91627978	31
chr2	91627978	91704724	47
chr2	91704724	92275027	47
chr2	92275027	93300000	30
chr2	93300000	95341388	3
chr2	95341388	95439958	19
chr2	95439958	100401268	93
chr2	100401268	101534111	92
chr2	101534111	113860516	84
chr2	113860516	114019590	84
chr2	114019590	133011000	84
chr2	133011000	164947649	85
chr2	164947649	171510997	69
chr2	171510997	171813078	85
chr2	171813078	174479117	69
chr2	174479117	180408999	69
chr2	180408999	180423890	52
chr2	180423890	186781053	69
chr2	186781053	186872333	52
chr2	186872333	187481423	69
chr2	187481423	187567673	85
chr2	187567673	187988040	69
chr2	187988040	188159389	68
chr2	188159389	220576527	85
chr2	220576527	231959482	68
chr2	231959482	232111213	85
chr2	232111213	234205549	68
chr2	234205549	239410117	85
chr2	239410117	241462146	52
chr2	241462146	241958042	68
chr2	241958042	243199373	85
chr3	0	416497	92
chr3	416497	4348110	76
chr3	4348110	4381438	59
chr3	4381438	6648836	76
chr3	6648836	6654205	59
chr3	6654205	7832478	76
chr3	7832478	8097987	59
chr3	8097987	40584675	76
chr3	40584675	49867825	59
chr3	49867825	50215032	76
chr3	50215032	50366111	92
chr3	50366111	52140332	76
chr3	52140332	52542610	92
chr3	52542610	53041687	76
chr3	53041687	59756527	77
chr3	59756527	62246702	77
chr3	62246702	62470984	94
chr3	62470984	64524527	77
chr3	64524527	64550402	60
chr3	64550402	68728890	77
chr3	68728890	68748866	94
chr3	68748866	84074913	77
chr3	84074913	91000000	94
chr3	91000000	93548479	70
chr3	93548479	95507646	87
chr3	95507646	100517430	70
chr3	100517430	101728793	87
chr3	101728793	104966163	70
chr3	104966163	114794597	87
chr3	114794597	114847336	54
chr3	114847336	115689195	87
chr3	115689195	115942004	78
chr3	115942004	116762166	75
chr3	116762166	117652723	92
chr3	117652723	125445136	95
chr3	125445136	125475705	62
chr3	125475705	129763279	95
chr3	129763279	129806580	62
chr3	129806580	162507354	95
chr3	162507354	162510463	98
chr3	162510463	162625988	64
chr3	162625988	165041326	98
chr3	165041326	165086976	64
chr3	165086976	167368965	98
chr3	167368965	168884697	99
chr3	168884697	170250689	99
chr3	170250689	170564855	99
chr3	170564855	171219001	99
chr3	171219001	171358096	99
chr3	171358096	171710121	99
chr3	171710121	171862209	99
chr3	171862209	172070534	99
chr3	172070534	172203172	99
chr3	172203172	172374747	99
chr3	172374747	172567439	99
chr3	172567439	173837059	99
chr3	173837059	173923236	99
chr3	173923236	174402664	99
chr3	174402664	176259970	99
chr3	176259970	176667272	99
chr3	176667272	176708718	99
chr3	176708718	176806365	99
chr3	176806365	176901762	99
chr3	176901762	177139351	99
chr3	177139351	177997040	99
chr3	177997040	178118177	99
chr3	178118177	179824227	99
chr3	179824227	188344560	99
chr3	188344560	188484169	94
chr3	188484169	197736621	94
chr3	197736621	198022430	96
chr4	0	4804445	65
chr4	4804445	6463892	48
chr4	6463892	6512833	65
chr4	6512833	10523882	48
chr4	10523882	13342937	23
chr4	13342937	19180638	24
chr4	19180638	20142148	8
chr4	20142148	24533598	24
chr4	24533598	24558560	8
chr4	24558560	32099216	24
chr4	32099216	38866759	34
chr4	38866759	40635743	51
chr4	40635743	49091580	51
chr4	49091580	50400000	49
chr4	50400000	52696792	1
chr4	52696792	52762136	17
chr4	52762136	53946393	87
chr4	53946393	54635818	80
chr4	54635818	57232462	74
chr4	57232462	58612159	81
chr4	58612159	60685394	83
chr4	60685394	66698454	83
chr4	66698454	69352550	83
chr4	69352550	69463245	83
chr4	69463245	76911648	74
chr4	76911648	77722350	24
chr4	77722350	78079552	7
chr4	78079552	87782035	0
chr4	87782035	87859456	16
chr4	87859456	91050432	0
chr4	91050432	91410733	0
chr4	91410733	91496729	12
chr4	91496729	91534006	0
chr4	91534006	115173678	0
chr4	115173678	117426368	0
chr4	117426368	119136091	12
chr4	119136091	131617559	14
chr4	131617559	132333941	21
chr4	132333941	137933261	21
chr4	137933261	138093233	61
chr4	138093233	147488246	61
chr4	147488246	154006812	19
chr4	154006812	167856284	18
chr4	167856284	182323288	2
chr4	182323288	182370281	0
chr4	182370281	191154276	2
chr5	0	48860	87
chr5	48860	231372	87
chr5	231372	15718863	87
chr5	15718863	17627577	86
chr5	17627577	18670677	86
chr5	18670677	23277376	88
chr5	23277376	24836282	91
chr5	24836282	34101645	90
chr5	34101645	39907108	91
chr5	39907108	46261151	86
chr5	46261151	46278212	79
chr5	46278212	46328445	63
chr5	46328445	46383335	0
chr5	46383335	48400000	3
chr5	48400000	49520000	0
chr5	49520000	51779352	3
chr5	51779352	52500029	3
chr5	52500029	57323830	0
chr5	57323830	57335951	55
chr5	57335951	57339215	38
chr5	57339215	58297792	0
chr5	58297792	58324089	0
chr5	58324089	59568862	0
chr5	59568862	59634886	0
