Chromosome Region	Start	End	gain
chr1	0	715604	0
chr1	715604	815952	0
chr1	815952	1161251	0
chr1	1161251	3327136	0
chr1	3327136	3355869	0
chr1	3355869	3403195	0
chr1	3403195	6127952	0
chr1	6127952	7797079	0
chr1	7797079	8275043	0
chr1	8275043	9912162	41
chr1	9912162	11073414	41
chr1	11073414	13872465	24
chr1	13872465	13936619	23
chr1	13936619	16815810	7
chr1	16815810	17269244	6
chr1	17269244	21468356	3
chr1	21468356	24956801	4
chr1	24956801	27822900	0
chr1	27822900	27826281	2
chr1	27826281	28613606	5
chr1	28613606	30980817	4
chr1	30980817	31266515	5
chr1	31266515	31465687	21
chr1	31465687	32515944	5
chr1	32515944	32866884	14
chr1	32866884	33665928	22
chr1	33665928	34449701	20
chr1	34449701	34879979	21
chr1	34879979	35722688	23
chr1	35722688	36403964	23
chr1	36403964	39224753	24
chr1	39224753	40096785	24
chr1	40096785	41281219	40
chr1	41281219	41658368	57
chr1	41658368	43082313	40
chr1	43082313	43112846	26
chr1	43112846	44056930	40
chr1	44056930	44345774	57
chr1	44345774	46408640	40
chr1	46408640	46427648	34
chr1	46427648	48742095	34
chr1	48742095	49395421	48
chr1	49395421	52452100	0
chr1	52452100	52709536	0
chr1	52709536	56571698	0
chr1	56571698	56592339	0
chr1	56592339	59169753	0
chr1	59169753	63353135	0
chr1	63353135	68964418	0
chr1	68964418	72208817	0
chr1	72208817	72759361	23
chr1	72759361	72765894	23
chr1	72765894	72804658	0
chr1	72804658	72805230	0
chr1	72805230	74494321	23
chr1	74494321	80214141	52
chr1	80214141	80548614	44
chr1	80548614	87681211	40
chr1	87681211	90046030	26
chr1	90046030	90119096	10
chr1	90119096	91797696	26
chr1	91797696	94687746	26
chr1	94687746	101904887	24
chr1	101904887	102297927	41
chr1	102297927	105235109	24
chr1	105235109	109973521	28
chr1	109973521	117490223	14
chr1	117490223	117927390	31
chr1	117927390	120505436	14
chr1	120505436	120553649	23
chr1	120553649	121266185	37
chr1	121266185	121291080	37
chr1	121291080	125000000	0
chr1	125000000	149732608	8
chr1	149732608	149808817	35
chr1	149808817	149825606	19
chr1	149825606	149850855	52
chr1	149850855	152249056	52
chr1	152249056	152311634	19
chr1	152311634	153495862	35
chr1	153495862	153783583	52
chr1	153783583	155903195	35
chr1	155903195	155956523	49
chr1	155956523	156032504	58
chr1	156032504	159258396	44
chr1	159258396	174152498	44
chr1	174152498	174342196	37
chr1	174342196	174801896	40
chr1	174801896	184057234	42
chr1	184057234	184335064	42
chr1	184335064	184408465	56
chr1	184408465	187520715	42
chr1	187520715	191768815	37
chr1	191768815	191794378	25
chr1	191794378	198812260	37
chr1	198812260	201881074	34
chr1	201881074	201966584	48
chr1	201966584	202080096	65
chr1	202080096	202150123	48
chr1	202150123	204047976	34
chr1	204047976	206300783	34
chr1	206300783	213282083	28
chr1	213282083	216816891	35
chr1	216816891	221208667	35
chr1	221208667	230455670	36
chr1	230455670	232212076	36
chr1	232212076	235144918	37
chr1	235144918	235477770	41
chr1	235477770	235679241	58
chr1	235679241	236556063	41
chr1	236556063	236585398	37
chr1	236585398	237077589	33
chr1	237077589	246829612	49
chr1	246829612	249250621	51
chr2	0	10371359	9
chr2	10371359	12281541	0
chr2	12281541	12311156	0
chr2	12311156	21813996	0
chr2	21813996	23792313	6
chr2	23792313	25240564	7
chr2	25240564	25304574	7
chr2	25304574	28984582	37
chr2	28984582	29079852	51
chr2	29079852	29907318	37
chr2	29907318	31829881	32
chr2	31829881	37179231	25
chr2	37179231	39745026	28
chr2	39745026	45700822	35
chr2	45700822	46077270	52
chr2	46077270	50731296	35
chr2	50731296	53848672	31
chr2	53848672	62153061	35
chr2	62153061	65682351	35
chr2	65682351	65835504	6
chr2	65835504	68869487	32
chr2	68869487	70184742	32
chr2	70184742	70825470	28
chr2	70825470	71120279	28
chr2	71120279	74336912	14
chr2	74336912	74448605	28
chr2	74448605	77868964	14
chr2	77868964	78025995	15
chr2	78025995	78064287	14
chr2	78064287	85555398	13
chr2	85555398	87341354	13
chr2	87341354	90301276	0
chr2	90301276	91627978	2
chr2	91627978	91704724	0
chr2	91704724	92193296	0
chr2	92193296	92275027	0
chr2	92275027	93300000	3
chr2	93300000	97082510	11
chr2	97082510	97624834	32
chr2	97624834	99742491	32
chr2	99742491	102236769	30
chr2	102236769	102720788	27
chr2	102720788	102747220	10
chr2	102747220	105909825	27
chr2	105909825	109629322	28
chr2	109629322	109665882	42
chr2	109665882	109797701	46
chr2	109797701	113444584	32
chr2	113444584	114400254	32
chr2	114400254	114766791	30
chr2	114766791	118963129	30
chr2	118963129	120285763	29
chr2	120285763	126458729	18
chr2	126458729	128211990	18
chr2	128211990	128315397	0
chr2	128315397	130442452	0
chr2	130442452	133331299	0
chr2	133331299	133721030	20
chr2	133721030	135243512	19
chr2	135243512	135762510	20
chr2	135762510	139266523	20
chr2	139266523	141068258	21
chr2	141068258	141683215	21
chr2	141683215	148004303	21
chr2	148004303	148479551	22
chr2	148479551	148660983	27
chr2	148660983	149130078	23
chr2	149130078	154299163	26
chr2	154299163	154329445	9
chr2	154329445	156853319	26
chr2	156853319	160049682	49
chr2	160049682	160090996	26
chr2	160090996	163362176	49
chr2	163362176	163904509	49
