Chromosome Region	Start	End	gain
chr1	0	566105	44
chr1	566105	734739	44
chr1	734739	811403	44
chr1	811403	1890419	69
chr1	1890419	8066167	69
chr1	8066167	9327442	61
chr1	9327442	14482687	61
chr1	14482687	16755866	61
chr1	16755866	16814464	58
chr1	16814464	16848768	58
chr1	16848768	16870321	37
chr1	16870321	17016876	20
chr1	17016876	17082652	41
chr1	17082652	17152358	58
chr1	17152358	17236245	58
chr1	17236245	17917506	58
chr1	17917506	18061479	58
chr1	18061479	18171586	58
chr1	18171586	18421558	58
chr1	18421558	18654589	58
chr1	18654589	20185948	58
chr1	20185948	21307389	58
chr1	21307389	23215310	58
chr1	23215310	24755956	58
chr1	24755956	26132903	55
chr1	26132903	26157839	63
chr1	26157839	26253274	63
chr1	26253274	26934019	55
chr1	26934019	27880007	27
chr1	27880007	28629153	55
chr1	28629153	28880951	41
chr1	28880951	29007705	55
chr1	29007705	29447743	41
chr1	29447743	30590363	55
chr1	30590363	30711544	27
chr1	30711544	30720535	55
chr1	30720535	31983047	27
chr1	31983047	32175163	30
chr1	32175163	33244047	58
chr1	33244047	34001386	58
chr1	34001386	35051963	58
chr1	35051963	35087951	66
chr1	35087951	35109386	65
chr1	35109386	35133004	66
chr1	35133004	36313237	58
chr1	36313237	36679946	58
chr1	36679946	37197385	62
chr1	37197385	37324799	70
chr1	37324799	42563757	78
chr1	42563757	45080613	80
chr1	45080613	50290156	77
chr1	50290156	54794374	74
chr1	54794374	55772823	70
chr1	55772823	59105706	68
chr1	59105706	60544184	70
chr1	60544184	72208306	69
chr1	72208306	72753227	69
chr1	72753227	72765894	85
chr1	72765894	72768926	87
chr1	72768926	72811532	54
chr1	72811532	72892440	71
chr1	72892440	73497010	68
chr1	73497010	74536605	69
chr1	74536605	74540304	48
chr1	74540304	75387692	69
chr1	75387692	77593002	71
chr1	77593002	80559482	63
chr1	80559482	85227871	61
chr1	85227871	86636982	61
chr1	86636982	94134852	66
chr1	94134852	94483541	66
chr1	94483541	109888745	66
chr1	109888745	110225035	66
chr1	110225035	110251470	66
chr1	110251470	110768986	66
chr1	110768986	111620285	66
chr1	111620285	112329908	64
chr1	112329908	112693006	64
chr1	112693006	112706196	81
chr1	112706196	112839921	64
chr1	112839921	114930771	64
chr1	114930771	114959714	43
chr1	114959714	118013274	64
chr1	118013274	120523828	67
chr1	120523828	120551476	67
chr1	120551476	120621451	68
chr1	120621451	120685338	85
chr1	120685338	121185034	93
chr1	121185034	121230790	85
chr1	121230790	121291080	68
chr1	121291080	125000000	2
chr1	125000000	143458436	9
chr1	143458436	148648869	69
chr1	148648869	149425912	47
chr1	149425912	149692722	69
chr1	149692722	151529156	96
chr1	151529156	152555617	96
chr1	152555617	152586585	96
chr1	152586585	152761982	96
chr1	152761982	152768465	96
chr1	152768465	154924828	96
chr1	154924828	155194365	96
chr1	155194365	155247949	88
chr1	155247949	155567329	96
chr1	155567329	155665165	74
chr1	155665165	157891045	96
chr1	157891045	160278300	98
chr1	160278300	176153843	98
chr1	176153843	180514472	97
chr1	180514472	180619295	89
chr1	180619295	183237145	75
chr1	183237145	183523095	89
chr1	183523095	196698279	85
chr1	196698279	196705860	93
chr1	196705860	196816261	72
chr1	196816261	196828843	93
chr1	196828843	196843835	85
chr1	196843835	208941208	84
chr1	208941208	211939113	84
chr1	211939113	212830606	83
chr1	212830606	214291423	83
chr1	214291423	217754871	87
chr1	217754871	219885140	91
chr1	219885140	219930397	91
chr1	219930397	232948623	91
chr1	232948623	247534274	90
chr1	247534274	247787459	91
chr1	247787459	247864435	70
chr1	247864435	249250621	91
chr2	0	224331	50
chr2	224331	342200	48
chr2	342200	2469416	62
chr2	2469416	4216461	63
chr2	4216461	4219941	35
chr2	4219941	4515603	63
chr2	4515603	6420338	63
chr2	6420338	9877183	62
chr2	9877183	14702922	63
chr2	14702922	23974161	65
chr2	23974161	25502741	66
chr2	25502741	26916131	66
chr2	26916131	29365571	74
chr2	29365571	34695192	74
chr2	34695192	35972005	74
chr2	35972005	35992716	72
chr2	35992716	41809180	74
chr2	41809180	43383294	66
chr2	43383294	45820839	69
chr2	45820839	45907574	77
chr2	45907574	52747747	69
chr2	52747747	54249116	69
chr2	54249116	61661516	69
chr2	61661516	61752602	41
chr2	61752602	67164049	69
chr2	67164049	68351869	69
chr2	68351869	70362959	69
chr2	70362959	77088778	69
chr2	77088778	80280695	69
chr2	80280695	87413976	58
chr2	87413976	87555780	79
chr2	87555780	90082301	58
chr2	90082301	90301276	58
chr2	90301276	91627978	27
chr2	91627978	91794849	41
chr2	91794849	92285930	58
chr2	92285930	93300000	27
chr2	93300000	95341388	25
chr2	95341388	95421697	39
chr2	95421697	95439958	60
chr2	95439958	96656411	60
chr2	96656411	97903520	43
chr2	97903520	98524556	43
chr2	98524556	98675483	60
chr2	98675483	98879626	43
chr2	98879626	101162043	60
chr2	101162043	104028502	73
chr2	104028502	104262587	90
chr2	104262587	106880404	73
chr2	106880404	106886312	71
chr2	106886312	109202757	73
chr2	109202757	109357887	73
chr2	109357887	109604227	73
chr2	109604227	110012398	73
chr2	110012398	111403986	73
chr2	111403986	111613220	73
chr2	111613220	111660454	73
chr2	111660454	111885594	73
chr2	111885594	112372597	73
chr2	112372597	112423341	73
chr2	112423341	112615695	73
chr2	112615695	112882741	73
chr2	112882741	113314191	73
chr2	113314191	113319062	73
chr2	113319062	113461268	73
chr2	113461268	113488995	73
chr2	113488995	113546791	73
chr2	113546791	113636636	73
chr2	113636636	113871943	73
chr2	113871943	114429392	73
chr2	114429392	114502515	73
chr2	114502515	115119952	73
chr2	115119952	117347511	73
chr2	117347511	117820835	71
chr2	117820835	119398482	71
chr2	119398482	127019032	71
chr2	127019032	135204020	69
chr2	135204020	135907759	69
chr2	135907759	140122834	69
chr2	140122834	146879621	69
chr2	146879621	148839600	71
chr2	148839600	149014382	68
chr2	149014382	150468518	73
chr2	150468518	168826452	73
chr2	168826452	177020211	71
chr2	177020211	177189497	71
chr2	177189497	177696595	87
chr2	177696595	178032138	87
chr2	178032138	178455531	71
chr2	178455531	180790636	73
chr2	180790636	181212537	73
chr2	181212537	181944771	70
chr2	181944771	182624737	67
chr2	182624737	183910188	69
chr2	183910188	186458661	49
chr2	186458661	186517407	66
chr2	186517407	187629616	66
chr2	187629616	190641833	49
chr2	190641833	194236536	51
chr2	194236536	194989723	51
chr2	194989723	196179851	51
chr2	196179851	199858614	51
chr2	199858614	208431266	30
chr2	208431266	209075969	30
chr2	209075969	209418706	28
chr2	209418706	211318885	28
chr2	211318885	212988956	27
chr2	212988956	213158275	29
chr2	213158275	213219224	30
chr2	213219224	213722875	29
chr2	213722875	215716194	27
chr2	215716194	223497680	29
chr2	223497680	230762347	26
chr2	230762347	235411461	26
chr2	235411461	236119520	26
chr2	236119520	236943609	26
chr2	236943609	237490615	18
chr2	237490615	239496487	34
chr2	239496487	243199373	38
chr3	0	4662738	12
chr3	4662738	6648836	13
chr3	6648836	6660012	0
chr3	6660012	6881077	13
chr3	6881077	8479062	17
chr3	8479062	8587823	17
chr3	8587823	10243615	17
chr3	10243615	10565606	0
chr3	10565606	12356103	0
chr3	12356103	12463596	16
chr3	12463596	13529794	36
chr3	13529794	19435087	16
chr3	19435087	19846712	30
chr3	19846712	19924228	9
chr3	19924228	20031256	14
chr3	20031256	23071672	35
chr3	23071672	26148988	50
chr3	26148988	26304146	29
chr3	26304146	28684951	50
chr3	28684951	37949994	36
chr3	37949994	39197746	28
chr3	39197746	42373738	27
chr3	42373738	44728822	44
chr3	44728822	48152949	41
chr3	48152949	48168893	62
chr3	48168893	48275962	41
chr3	48275962	52152004	20
chr3	52152004	52385602	41
chr3	52385602	59104416	27
chr3	59104416	59316164	47
chr3	59316164	59598769	51
chr3	59598769	60707095	31
chr3	60707095	60726223	10
chr3	60726223	60775421	0
chr3	60775421	60836843	10
chr3	60836843	62623534	31
chr3	62623534	65187151	31
chr3	65187151	65216425	34
chr3	65216425	65873060	31
chr3	65873060	65924069	39
chr3	65924069	67492844	31
chr3	67492844	68728890	23
chr3	68728890	68748772	2
chr3	68748772	70928733	23
chr3	70928733	73023777	37
chr3	73023777	73095750	23
chr3	73095750	75411137	37
chr3	75411137	82722632	37
chr3	82722632	90145243	52
chr3	90145243	91000000	69
chr3	91000000	93543006	1
chr3	93543006	93548479	14
chr3	93548479	93588564	22
chr3	93588564	93605126	22
chr3	93605126	93787311	79
chr3	93787311	94984795	71
chr3	94984795	98008026	54
chr3	98008026	98926953	40
chr3	98926953	99385692	40
chr3	99385692	104630428	38
chr3	104630428	113388127	40
chr3	113388127	114119459	48
chr3	114119459	116070536	40
chr3	116070536	116775294	0
chr3	116775294	117194841	18
chr3	117194841	117234124	4
chr3	117234124	117565534	32
chr3	117565534	117652723	11
chr3	117652723	122476167	53
chr3	122476167	129730715	51
chr3	129730715	129742245	53
chr3	129742245	129789723	49
chr3	129789723	129806580	35
chr3	129806580	129815485	49
chr3	129815485	129916897	52
chr3	129916897	130052349	50
chr3	130052349	130134861	50
chr3	130134861	132012661	50
chr3	132012661	135699095	55
chr3	135699095	157711332	54
chr3	157711332	159275522	40
chr3	159275522	159279362	54
chr3	159279362	165230759	55
chr3	165230759	168474381	75
chr3	168474381	170071992	75
chr3	170071992	170130840	61
chr3	170130840	170195933	75
chr3	170195933	171244647	75
chr3	171244647	172282254	55
chr3	172282254	172370631	63
chr3	172370631	175686148	55
chr3	175686148	175772816	41
chr3	175772816	175805950	39
chr3	175805950	181120894	53
chr3	181120894	182304131	51
chr3	182304131	187259379	66
chr3	187259379	187446005	46
chr3	187446005	187572259	46
chr3	187572259	189926478	46
chr3	189926478	190240978	46
chr3	190240978	190746006	46
chr3	190746006	190830509	46
chr3	190830509	191867751	46
