Chromosome Region	Start	End	gain
chr1	0	767025	0
chr1	767025	787687	0
chr1	787687	15199874	0
chr1	15199874	16920989	0
chr1	16920989	21966738	0
chr1	21966738	27535130	0
chr1	27535130	30309810	0
chr1	30309810	32009897	0
chr1	32009897	35109386	4
chr1	35109386	39142813	7
chr1	39142813	39454983	7
chr1	39454983	40948588	11
chr1	40948588	47223002	20
chr1	47223002	47323154	11
chr1	47323154	50453104	0
chr1	50453104	51751304	3
chr1	51751304	65369223	0
chr1	65369223	71786677	0
chr1	71786677	76979823	0
chr1	76979823	81365405	0
chr1	81365405	110251819	0
chr1	110251819	121291080	8
chr1	121291080	125000000	0
chr1	125000000	149764006	8
chr1	149764006	169585047	20
chr1	169585047	174152498	25
chr1	174152498	176761738	24
chr1	176761738	182935212	25
chr1	182935212	183102043	25
chr1	183102043	183303180	40
chr1	183303180	192384886	25
chr1	192384886	207327196	25
chr1	207327196	208446313	23
chr1	208446313	222145870	13
chr1	222145870	224411289	34
chr1	224411289	235453085	14
chr1	235453085	243993084	14
chr1	243993084	247292531	15
chr1	247292531	249250621	24
chr2	0	10955619	0
chr2	10955619	11228307	0
chr2	11228307	19997951	0
chr2	19997951	26060892	3
chr2	26060892	50626114	0
chr2	50626114	65482290	42
chr2	65482290	67851794	42
chr2	67851794	70055106	51
chr2	70055106	75885669	51
chr2	75885669	85555398	0
chr2	85555398	85933751	5
chr2	85933751	91627978	0
chr2	91627978	92285930	0
chr2	92285930	93300000	0
chr2	93300000	97082510	5
chr2	97082510	99201244	17
chr2	99201244	100293467	17
chr2	100293467	110821422	10
chr2	110821422	118963129	4
chr2	118963129	128960405	3
chr2	128960405	134064544	0
chr2	134064544	135972182	0
chr2	135972182	136653498	9
chr2	136653498	138795906	1
chr2	138795906	140884228	9
chr2	140884228	142094872	0
chr2	142094872	142867058	9
chr2	142867058	146866854	11
chr2	146866854	149925820	11
chr2	149925820	153532457	11
chr2	153532457	161340674	13
chr2	161340674	172518880	13
chr2	172518880	174840448	13
chr2	174840448	184673379	0
chr2	184673379	186217716	0
chr2	186217716	189848630	0
chr2	189848630	196311762	15
chr2	196311762	204004468	13
chr2	204004468	206316007	13
chr2	206316007	206546210	14
chr2	206546210	206871301	14
chr2	206871301	207315164	8
chr2	207315164	208995267	14
chr2	208995267	213054242	14
chr2	213054242	214415693	12
chr2	214415693	219675338	14
chr2	219675338	220693911	14
chr2	220693911	228707323	1
chr2	228707323	233223117	0
chr2	233223117	243199373	0
chr3	0	14706164	0
chr3	14706164	48152949	0
chr3	48152949	50767675	0
chr3	50767675	57333192	0
chr3	57333192	64374302	0
chr3	64374302	65893152	0
chr3	65893152	66933941	0
chr3	66933941	67385899	0
chr3	67385899	72004310	0
chr3	72004310	89047178	0
chr3	89047178	91000000	4
chr3	91000000	93548479	7
chr3	93548479	93720625	57
chr3	93720625	93907544	7
chr3	93907544	111404589	2
chr3	111404589	115572686	2
chr3	115572686	115632509	2
chr3	115632509	116055562	2
chr3	116055562	116120744	2
chr3	116120744	116231271	0
chr3	116231271	116488267	0
chr3	116488267	123618636	0
chr3	123618636	124290949	0
chr3	124290949	131925406	0
chr3	131925406	133007052	2
chr3	133007052	133028893	15
