Chromosome Region	Start	End	loss
chr1	0	715604	39
chr1	715604	815952	27
chr1	815952	1161251	11
chr1	1161251	3327136	0
chr1	3327136	3355869	4
chr1	3355869	3403195	21
chr1	3403195	6127952	32
chr1	6127952	7797079	16
chr1	7797079	8275043	12
chr1	8275043	9912162	0
chr1	9912162	11073414	0
chr1	11073414	13872465	0
chr1	13872465	13936619	0
chr1	13936619	16815810	0
chr1	16815810	17269244	0
chr1	17269244	21468356	0
chr1	21468356	24956801	0
chr1	24956801	27822900	2
chr1	27822900	27826281	0
chr1	27826281	28613606	0
chr1	28613606	30980817	0
chr1	30980817	31266515	0
chr1	31266515	31465687	0
chr1	31465687	32515944	0
chr1	32515944	32866884	0
chr1	32866884	33665928	0
chr1	33665928	34449701	0
chr1	34449701	34879979	0
chr1	34879979	35722688	0
chr1	35722688	36403964	0
chr1	36403964	39224753	0
chr1	39224753	40096785	0
chr1	40096785	41281219	0
chr1	41281219	41658368	0
chr1	41658368	43082313	0
chr1	43082313	43112846	0
chr1	43112846	44056930	0
chr1	44056930	44345774	0
chr1	44345774	46408640	0
chr1	46408640	46427648	0
chr1	46427648	48742095	0
chr1	48742095	49395421	0
chr1	49395421	52452100	5
chr1	52452100	52709536	2
chr1	52709536	56571698	16
chr1	56571698	56592339	19
chr1	56592339	59169753	5
chr1	59169753	63353135	4
chr1	63353135	68964418	5
chr1	68964418	72208817	5
chr1	72208817	72759361	0
chr1	72759361	72765894	0
chr1	72765894	72804658	4
chr1	72804658	72805230	3
chr1	72805230	74494321	0
chr1	74494321	80214141	0
chr1	80214141	80548614	0
chr1	80548614	87681211	0
chr1	87681211	90046030	0
chr1	90046030	90119096	0
chr1	90119096	91797696	0
chr1	91797696	94687746	0
chr1	94687746	101904887	0
chr1	101904887	102297927	0
chr1	102297927	105235109	0
chr1	105235109	109973521	0
chr1	109973521	117490223	0
chr1	117490223	117927390	0
chr1	117927390	120505436	0
chr1	120505436	120553649	0
chr1	120553649	121266185	0
chr1	121266185	121291080	0
chr1	121291080	125000000	0
chr1	125000000	149732608	0
chr1	149732608	149808817	0
chr1	149808817	149825606	0
chr1	149825606	149850855	0
chr1	149850855	152249056	0
chr1	152249056	152311634	0
chr1	152311634	153495862	0
chr1	153495862	153783583	0
chr1	153783583	155903195	0
chr1	155903195	155956523	0
chr1	155956523	156032504	0
chr1	156032504	159258396	0
chr1	159258396	174152498	0
chr1	174152498	174342196	0
chr1	174342196	174801896	0
chr1	174801896	184057234	0
chr1	184057234	184335064	0
chr1	184335064	184408465	0
chr1	184408465	187520715	0
chr1	187520715	191768815	0
chr1	191768815	191794378	0
chr1	191794378	198812260	0
chr1	198812260	201881074	0
chr1	201881074	201966584	0
chr1	201966584	202080096	0
chr1	202080096	202150123	0
chr1	202150123	204047976	0
chr1	204047976	206300783	0
chr1	206300783	213282083	0
chr1	213282083	216816891	0
chr1	216816891	221208667	0
chr1	221208667	230455670	0
chr1	230455670	232212076	0
chr1	232212076	235144918	0
chr1	235144918	235477770	0
chr1	235477770	235679241	0
chr1	235679241	236556063	0
