Chromosome Region	Start	End	gain
chr1	0	7656581	95
chr1	7656581	8060881	78
chr1	8060881	16996293	95
chr1	16996293	17262060	95
chr1	17262060	19646378	95
chr1	19646378	19872724	95
chr1	19872724	20672828	91
chr1	20672828	22707072	91
chr1	22707072	24667178	91
chr1	24667178	30667708	91
chr1	30667708	34931952	90
chr1	34931952	35083010	91
chr1	35083010	35097164	90
chr1	35097164	35109386	84
chr1	35109386	35690830	90
chr1	35690830	35900283	95
chr1	35900283	38525377	95
chr1	38525377	41200272	95
chr1	41200272	41495608	95
chr1	41495608	41506362	95
chr1	41506362	42001372	95
chr1	42001372	47447927	95
chr1	47447927	51418694	95
chr1	51418694	51750966	95
chr1	51750966	55115309	95
chr1	55115309	56702776	95
chr1	56702776	58484370	89
chr1	58484370	60269846	89
chr1	60269846	60439855	89
chr1	60439855	60535396	89
chr1	60535396	61117521	89
chr1	61117521	61409376	89
chr1	61409376	61949249	89
chr1	61949249	62253328	89
chr1	62253328	62666111	89
chr1	62666111	62907302	89
chr1	62907302	62944861	89
chr1	62944861	63552801	89
chr1	63552801	63743427	89
chr1	63743427	63858911	89
chr1	63858911	64654624	89
chr1	64654624	64813004	89
chr1	64813004	65215360	89
chr1	65215360	65340900	89
chr1	65340900	65659212	89
chr1	65659212	66239776	89
chr1	66239776	66272729	89
chr1	66272729	66281108	89
chr1	66281108	66586994	89
chr1	66586994	66731534	89
chr1	66731534	66775665	89
chr1	66775665	67003335	89
chr1	67003335	67047906	89
chr1	67047906	67926509	89
chr1	67926509	68085652	77
chr1	68085652	68644748	77
chr1	68644748	69307931	77
chr1	69307931	69744419	77
chr1	69744419	70000332	77
chr1	70000332	70106485	77
chr1	70106485	70131700	77
chr1	70131700	72226725	77
chr1	72226725	72447481	74
chr1	72447481	92255325	77
chr1	92255325	92401871	78
chr1	92401871	97123244	80
chr1	97123244	97277836	80
chr1	97277836	100327536	80
chr1	100327536	100519297	80
chr1	100519297	103322036	80
chr1	103322036	104144001	80
chr1	104144001	105144284	80
chr1	105144284	105423457	80
chr1	105423457	105547774	80
chr1	105547774	105606107	80
chr1	105606107	105998605	80
chr1	105998605	106058454	80
chr1	106058454	111025557	80
chr1	111025557	111031650	80
chr1	111031650	111176126	91
chr1	111176126	112246931	91
chr1	112246931	112259718	91
chr1	112259718	112289343	91
chr1	112289343	112506185	91
chr1	112506185	112634918	91
chr1	112634918	113094656	91
chr1	113094656	113810313	91
chr1	113810313	114374012	91
chr1	114374012	117914536	91
