Chromosome Region	Start	End	gain
chr1	0	8066167	6
chr1	8066167	16770597	0
chr1	16770597	26132903	0
chr1	26132903	35561799	0
chr1	35561799	37197385	2
chr1	37197385	48742095	23
chr1	48742095	72753227	32
chr1	72753227	72765894	79
chr1	72765894	72768926	25
chr1	72768926	72811532	0
chr1	72811532	77593002	31
chr1	77593002	80501758	6
chr1	80501758	109973521	7
chr1	109973521	120553649	0
chr1	120553649	125000000	9
chr1	125000000	145369419	8
chr1	145369419	174166144	85
chr1	174166144	180514472	85
chr1	180514472	182443276	62
chr1	182443276	217375352	59
chr1	217375352	229888393	62
chr1	229888393	230348444	61
chr1	230348444	244870678	58
chr1	244870678	249250621	59
chr2	0	1359742	51
chr2	1359742	23178444	50
chr2	23178444	23738366	67
chr2	23738366	31334781	78
chr2	31334781	41809180	77
chr2	41809180	66677848	61
chr2	66677848	71120279	59
chr2	71120279	77480934	51
chr2	77480934	90301276	55
chr2	90301276	91704724	0
chr2	91704724	93300000	15
chr2	93300000	96656411	7
chr2	96656411	98524556	0
chr2	98524556	98879626	0
chr2	98879626	105372855	7
chr2	105372855	123489857	6
chr2	123489857	156933408	13
chr2	156933408	178032138	14
chr2	178032138	183910188	11
chr2	183910188	186458661	11
chr2	186458661	187386808	19
chr2	187386808	194862219	19
chr2	194862219	201655561	7
chr2	201655561	203004137	6
chr2	203004137	204245014	6
chr2	204245014	216243741	4
chr2	216243741	220991436	1
chr2	220991436	224586353	0
chr2	224586353	234925298	0
chr2	234925298	243199373	23
chr3	0	5588375	11
chr3	5588375	10565606	8
chr3	10565606	17591995	8
chr3	17591995	19762174	18
chr3	19762174	23147319	21
chr3	23147319	23167336	24
chr3	23167336	25110460	26
chr3	25110460	37949994	24
chr3	37949994	56285000	0
chr3	56285000	60690540	6
chr3	60690540	65924069	8
chr3	65924069	67492844	7
chr3	67492844	82722632	0
chr3	82722632	90107714	0
chr3	90107714	91000000	0
chr3	91000000	94984795	24
chr3	94984795	111433654	15
chr3	111433654	114637165	26
chr3	114637165	121929228	20
chr3	121929228	143104966	20
chr3	143104966	149710140	25
chr3	149710140	162495759	25
