Chromosome Region	Start	End	loss
chr1	0	8066167	0
chr1	8066167	16770597	15
chr1	16770597	26132903	19
chr1	26132903	35561799	17
chr1	35561799	37197385	0
chr1	37197385	48742095	0
chr1	48742095	72753227	0
chr1	72753227	72765894	0
chr1	72765894	72768926	0
chr1	72768926	72811532	22
chr1	72811532	77593002	0
chr1	77593002	80501758	0
chr1	80501758	109973521	0
chr1	109973521	120553649	0
chr1	120553649	125000000	0
chr1	125000000	145369419	0
chr1	145369419	174166144	0
chr1	174166144	180514472	0
chr1	180514472	182443276	0
chr1	182443276	217375352	0
chr1	217375352	229888393	0
chr1	229888393	230348444	0
chr1	230348444	244870678	0
chr1	244870678	249250621	0
chr2	0	1359742	0
chr2	1359742	23178444	0
chr2	23178444	23738366	0
chr2	23738366	31334781	0
chr2	31334781	41809180	0
chr2	41809180	66677848	0
chr2	66677848	71120279	0
chr2	71120279	77480934	0
chr2	77480934	90301276	0
chr2	90301276	91704724	0
chr2	91704724	93300000	0
chr2	93300000	96656411	0
chr2	96656411	98524556	42
chr2	98524556	98879626	21
chr2	98879626	105372855	0
chr2	105372855	123489857	0
chr2	123489857	156933408	0
chr2	156933408	178032138	0
chr2	178032138	183910188	0
chr2	183910188	186458661	0
chr2	186458661	187386808	0
chr2	187386808	194862219	0
chr2	194862219	201655561	0
chr2	201655561	203004137	0
chr2	203004137	204245014	0
chr2	204245014	216243741	0
chr2	216243741	220991436	0
chr2	220991436	224586353	15
chr2	224586353	234925298	13
chr2	234925298	243199373	0
chr3	0	5588375	0
chr3	5588375	10565606	0
chr3	10565606	17591995	0
chr3	17591995	19762174	0
chr3	19762174	23147319	0
chr3	23147319	23167336	0
chr3	23167336	25110460	0
chr3	25110460	37949994	0
chr3	37949994	56285000	0
chr3	56285000	60690540	0
chr3	60690540	65924069	0
chr3	65924069	67492844	0
chr3	67492844	82722632	13
chr3	82722632	90107714	5
chr3	90107714	91000000	5
chr3	91000000	94984795	0
chr3	94984795	111433654	0
chr3	111433654	114637165	0
chr3	114637165	121929228	0
chr3	121929228	143104966	0
chr3	143104966	149710140	0
chr3	149710140	162495759	0
chr3	162495759	162629241	0
chr3	162629241	187259379	0
chr3	187259379	188370618	0
chr3	188370618	198022430	0
chr4	0	1388479	3
chr4	1388479	9854530	0
chr4	9854530	10210168	0
chr4	10210168	11896171	0
chr4	11896171	14031250	0
chr4	14031250	34771911	0
chr4	34771911	34782777	0
chr4	34782777	34795786	0
chr4	34795786	34824454	0
chr4	34824454	43297564	0
chr4	43297564	44664591	0
chr4	44664591	50400000	0
chr4	50400000	52833741	42
chr4	52833741	53778176	10
chr4	53778176	57640575	36
chr4	57640575	69536970	33
chr4	69536970	70239985	49
chr4	70239985	77813812	52
chr4	77813812	111523034	59
chr4	111523034	112513634	82
chr4	112513634	115173678	80
chr4	115173678	115184351	0
chr4	115184351	147080203	76
chr4	147080203	161877009	70
chr4	161877009	191154276	73
chr5	0	48400000	0
chr5	48400000	49520000	0
chr5	49520000	64708132	20
chr5	64708132	66859979	25
chr5	66859979	78640457	32
